Timestamp,Go fuck yourself.,I can't wait to fucking graduate.,I left the apartment as soon as I could after seeing my roommate fucking someone.,The word Fuck itself,You are such a bitch.,That was a bitch of a test.,The dog we thought that was a male turned out to be a bitch.,The word Bitch,Go to hell!,That was one hell of a ride!,"In the bible, those who have sinned go to hell after their death. ",The word Hell,You piece of shit!,My shitty car stopped working yesterday.,I spent a whole hour trying to pick up my dog's shit.,What is your age group?,Is English your second language?,"If English is your second language, how confident are you with using English?",Do you consider yourself religious?,"If you're religious, which religion?",Total Tabooness
4-23-2026 22:53:50,6,2,5,5,7,5,5,7,3,1,1,2,5,3,2,18 - 25,Yes,7,No,,59
4-24-2026 8:36:57,6,5,5,5,7,7,2,6,2,2,1,1,3,3,4,26 - 39,Yes,,No,,59
4-23-2026 21:26:18,5,2,6,3,4,1,6,4,6,1,1,3,3,1,1,18 - 25,Yes,6,Yes,Christian,47
4-24-2026 20:22:28,4,1,1,4,1,1,1,1,7,6,1,5,4,3,6,18 - 25,Yes,1,Yes,catholic,46
4-23-2026 20:28:03,4,2,2,3,4,2,3,4,4,2,2,2,3,2,2,18 - 25,Yes,7,No,,41
4-24-2026 1:50:19,5,2,5,3,4,1,1,3,2,1,1,1,7,1,1,18 - 25,Yes,7,No,,38
4-23-2026 21:22:22,6,5,7,6,5,5,3,5,6,3,1,4,6,6,6,18 - 25,No,,No,,74
4-24-2026 4:22:10,6,5,5,6,6,6,4,6,3,3,2,3,5,5,5,18 - 25,No,,No,,70
4-23-2026 21:43:22,7,7,6,6,4,4,2,4,3,2,1,2,6,5,4,18 - 25,No,7,No,,63
4-24-2026 9:22:09,7,5,6,6,4,3,3,4,4,1,1,2,7,4,4,40 - 59,No,7,No,,61
4-24-2026 14:42:57,3,2,2,4,5,5,7,6,5,1,1,3,5,5,4,18 - 25,No,,Yes,Christian/Catholic,58
4-23-2026 23:53:35,4,3,6,3,6,4,6,5,3,2,3,3,4,2,2,18 - 25,No,,No,,56
4-23-2026 23:05:16,7,4,3,4,7,2,1,4,7,1,1,2,7,2,3,40 - 59,No,7,Yes,Christian,55
4-23-2026 23:04:00,6,4,6,6,7,3,1,4,4,1,1,2,4,3,1,18 - 25,No,,No,,53
4-24-2026 15:29:25,6,3,3,3,6,4,3,3,5,2,1,2,5,3,4,40 - 59,No,,No,,53
4-23-2026 20:33:45,6,4,5,6,5,2,1,3,5,2,1,3,4,2,2,26 - 39,No,,Yes,Catholic,51
4-23-2026 22:47:06,4,2,6,5,4,6,1,3,2,1,1,2,7,5,2,26 - 39,No,,No,,51
4-23-2026 23:51:06,6,2,5,5,6,3,1,4,5,1,1,1,6,3,2,18 - 25,No,,No,,51
4-24-2026 1:46:36,4,4,4,4,4,4,4,4,3,2,1,4,4,3,2,26 - 39,No,,No,,51
4-24-2026 0:09:30,6,3,4,5,5,3,1,5,2,1,1,1,6,4,3,18 - 25,No,,Yes,Buddhist,50
4-23-2026 21:08:21,4,4,6,5,3,2,2,3,3,2,1,2,4,4,4,18 - 25,No,,Yes,Christianity,49
4-24-2026 2:37:00,5,4,6,4,5,5,4,5,3,1,1,1,3,1,1,18 - 25,No,,No,,49
4-24-2026 0:33:40,7,2,5,4,5,2,1,3,4,1,1,2,5,3,3,26 - 39,No,,Yes,Christian,48
4-23-2026 20:32:11,6,2,4,5,6,2,1,4,2,1,1,2,6,2,3,18 - 25,No,,Yes,Hindu,47
4-24-2026 11:23:50,5,5,6,5,5,2,1,2,2,1,1,1,6,1,2,60+,No,,No,,45
4-23-2026 22:01:53,6,2,1,5,6,5,2,5,3,1,1,2,3,1,1,18 - 25,No,,No,,44
4-24-2026 13:54:38,6,2,7,4,3,2,2,2,4,2,1,2,5,1,1,18 - 25,No,,Yes,Christianity ,44
4-23-2026 21:53:03,5,2,1,4,7,4,1,5,3,1,1,2,3,2,1,26 - 39,No,,No,,42
4-23-2026 21:56:47,4,2,7,3,7,1,4,5,1,1,1,1,2,2,1,18 - 25,No,,No,,42
4-23-2026 23:28:27,5,3,3,4,4,3,1,3,2,1,1,3,4,3,2,26 - 39,No,7,No,,42
4-24-2026 16:51:10,5,2,2,2,6,3,2,5,5,1,1,1,5,1,1,26 - 39,No,,No,,42
4-24-2026 18:46:30,5,1,6,3,5,2,1,3,4,1,1,2,5,2,1,18 - 25,No,,No,,42
4-23-2026 23:15:05,4,2,3,2,6,4,1,5,3,1,2,2,3,1,1,26 - 39,No,,No,,40
4-23-2026 22:20:27,4,2,2,3,5,3,2,4,3,1,2,1,3,2,2,18 - 25,No,,No,,39
4-23-2026 23:46:00,6,3,3,5,2,2,1,2,2,2,1,2,4,2,2,40 - 59,No,,No,,39
4-24-2026 1:22:47,5,2,2,2,4,2,5,2,2,1,1,2,3,3,3,26 - 39,No,,No,,39
4-24-2026 2:32:35,5,2,2,3,5,3,2,3,3,1,1,1,3,2,2,18 - 25,No,,No,,38
4-23-2026 23:01:06,5,2,1,3,7,1,4,4,1,1,1,1,4,1,1,18 - 25,No,,No,,37
4-24-2026 12:41:49,3,2,2,3,5,2,5,4,3,1,1,2,2,1,1,18 - 25,No,,No,,37
4-24-2026 20:08:10,3,3,5,3,5,1,1,3,1,1,1,1,2,1,6,26 - 39,No,,No,,37
4-24-2026 10:47:04,3,1,2,3,5,2,5,4,2,1,2,1,2,1,1,18 - 25,No,,No,,35
4-24-2026 18:16:12,2,1,4,2,3,1,1,3,1,1,1,1,3,4,4,18 - 25,No,,No,,32
4-23-2026 20:35:42,7,3,1,2,4,1,1,2,2,1,1,1,3,1,1,18 - 25,No,,No,,31
4-23-2026 22:14:54,2,1,5,2,1,3,7,3,1,1,1,1,1,1,1,18 - 25,No,,No,,31
4-24-2026 8:46:38,1,1,2,1,4,2,7,5,1,1,1,1,1,1,1,18 - 25,No,,Yes,Nondenominational Christian,30
4-23-2026 21:56:55,3,2,1,2,5,1,1,4,1,1,1,1,2,1,3,18 - 25,No,,Yes,Christianity ,29
4-23-2026 22:28:46,2,1,3,2,5,2,2,4,1,1,1,1,2,1,1,18 - 25,No,,No,,29
4-23-2026 23:53:26,4,1,3,2,2,2,5,2,1,1,1,1,1,1,1,18 - 25,No,,No,,28
4-24-2026 7:53:07,2,1,1,1,5,1,1,5,1,1,1,1,4,1,1,26 - 39,No,,No,,27
4-23-2026 23:35:34,2,1,1,1,5,1,1,3,1,1,1,1,2,1,1,40 - 59,No,,No,,23
Average,4.68,2.58,3.78,3.64,4.82,2.76,2.6,3.84,2.94,1.38,1.14,1.82,3.94,2.28,2.28,,,,,,
Maximum,7,7,7,6,7,7,7,7,7,6,3,5,7,6,6,,,,,,74
Minimum,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,23
,Fuck,Bitch,Hell,Shit,,,,,,,,,,,,,,,,,
Word averages,3.68,3.393333333,1.82,2.833333333,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Sentences,Average Tabooness Rating (Descending),,,,,,,,,,,,,,,,,,,
,You are such a bitch.,4.82,,,Invective,Emotive,Informative,,,,,,,,,,,,,,
,Go fuck yourself.,4.68,,Fuck,4.68,2.58,3.78,,,,,,,,,,,,,,
,You piece of shit!,3.94,,Bitch,4.82,2.76,2.6,,,,,,,,,,,,,,
,I left the apartment as soon as I could after seeing my roommate fucking someone.,3.78,,Hell,2.94,1.38,1.14,,,,,,,,,,,,,,
,Go to hell!,2.94,,Shit,3.94,2.28,2.28,,,,,,,,,,,,,,
,That was a bitch of a test.,2.76,,,,,,,,,,,,,,,,,,,
,The dog we thought that was a male turned out to be a bitch.,2.6,,,,,,,,,,,,,,,,,,,
,I can't wait to fucking graduate.,2.58,,,,,,,,,,,,,,,,,,,
,My shitty car stopped working yesterday.,2.28,,,,,,,,,,,,,,,,,,,
,I spent a whole hour trying to pick up my dog's shit.,2.28,,,,,,,,,,,,,,,,,,,
,That was one hell of a ride!,1.38,,,,,,,,,,,,,,,,,,,
,"In the bible, those who have sinned go to hell after their death. ",1.14,,,,,,,,,,,,,,,,,,,
